Movies, Year Of Reslease
The Shawshank Redemption    (1994)
The Godfather    (1972)
The Godfather: Part II    (1974)
The Dark Knight    (2008)
12 Angry Men    (1957)
Schindler's List    (1993)
Pulp Fiction    (1994)
The Lord of the Rings: The Return of the King    (2003)
The Good, the Bad and the Ugly    (1966)
Fight Club    (1999)
The Lord of the Rings: The Fellowship of the Ring    (2001)
Forrest Gump    (1994)
Star Wars: Episode V - The Empire Strikes Back    (1980)
Inception    (2010)
The Lord of the Rings: The Two Towers    (2002)
One Flew Over the Cuckoo's Nest    (1975)
Goodfellas    (1990)
The Matrix    (1999)
Seven Samurai    (1954)
Star Wars: Episode IV - A New Hope    (1977)
City of God    (2002)
Se7en    (1995)
The Silence of the Lambs    (1991)
It's a Wonderful Life    (1946)
Life Is Beautiful    (1997)
The Usual Suspects    (1995)
Lon: The Professional    (1994)
Saving Private Ryan    (1998)
Spirited Away    (2001)
American History X    (1998)
Once Upon a Time in the West    (1968)
Interstellar    (2014)
Psycho    (1960)
The Green Mile    (1999)
City Lights    (1931)
Casablanca    (1942)
The Intouchables    (2011)
Modern Times    (1936)
Raiders of the Lost Ark    (1981)
The Pianist    (2002)
The Departed    (2006)
Rear Window    (1954)
Terminator 2: Judgment Day    (1991)
Back to the Future    (1985)
Whiplash    (2014)
Gladiator    (2000)
The Prestige    (2006)
The Lion King    (1994)
Memento    (2000)
Apocalypse Now    (1979)
Alien    (1979)
The Great Dictator    (1940)
Sunset Blvd.    (1950)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb    (1964)
Cinema Paradiso    (1988)
The Lives of Others    (2006)
Grave of the Fireflies    (1988)
Paths of Glory    (1957)
Django Unchained    (2012)
The Shining    (1980)
WALLE    (2008)
American Beauty    (1999)
The Dark Knight Rises    (2012)
Princess Mononoke    (1997)
Aliens    (1986)
Oldeuboi    (2003)
Witness for the Prosecution    (1957)
Once Upon a Time in America    (1984)
Das Boot    (1981)
Citizen Kane    (1941)
Dangal    (2016)
Vertigo    (1958)
North by Northwest    (1959)
Star Wars: Episode VI - Return of the Jedi    (1983)
Braveheart    (1995)
Reservoir Dogs    (1992)
M    (1931)
Requiem for a Dream    (2000)
Dunkirk    (2017)
Amlie    (2001)
Taare Zameen Par    (2007)
A Clockwork Orange    (1971)
Kimi no na wa.    (2016)
Lawrence of Arabia    (1962)
Double Indemnity    (1944)
Taxi Driver    (1976)
Amadeus    (1984)
Eternal Sunshine of the Spotless Mind    (2004)
To Kill a Mockingbird    (1962)
Full Metal Jacket    (1987)
2001: A Space Odyssey    (1968)
Toy Story 3    (2010)
Singin' in the Rain    (1952)
The Sting    (1973)
Toy Story    (1995)
3 Idiots    (2009)
Bicycle Thieves    (1948)
Inglourious Basterds    (2009)
The Kid    (1921)
Snatch    (2000)
Monty Python and the Holy Grail    (1975)
For a Few Dollars More    (1965)
Good Will Hunting    (1997)
L.A. Confidential    (1997)
Jagten    (2012)
Scarface    (1983)
The Apartment    (1960)
Rashmon    (1950)
Metropolis    (1927)
A Separation    (2011)
Indiana Jones and the Last Crusade    (1989)
Babam ve Oglum    (2005)
All About Eve    (1950)
Yojimbo    (1961)
Batman Begins    (2005)
Up    (2009)
Some Like It Hot    (1959)
The Treasure of the Sierra Madre    (1948)
Unforgiven    (1992)
Downfall    (2004)
Die Hard    (1988)
Raging Bull    (1980)
Heat    (1995)
Children of Heaven    (1997)
The Third Man    (1949)
The Great Escape    (1963)
Ikiru    (1952)
Chinatown    (1974)
Pan's Labyrinth    (2006)
My Neighbor Totoro    (1988)
Ran    (1985)
The Gold Rush    (1925)
Inside Out    (2015)
Incendies    (2010)
The Secret in Their Eyes    (2009)
On the Waterfront    (1954)
Judgment at Nuremberg    (1961)
The Bridge on the River Kwai    (1957)
Howl's Moving Castle    (2004)
Room    (2015)
Blade Runner    (1982)
The Seventh Seal    (1957)
Mr. Smith Goes to Washington    (1939)
Lock, Stock and Two Smoking Barrels    (1998)
Casino    (1995)
A Beautiful Mind    (2001)
The Elephant Man    (1980)
Wild Strawberries    (1957)
V for Vendetta    (2005)
The Wolf of Wall Street    (2013)
The General    (1926)
Warrior    (2011)
Trainspotting    (1996)
Dial M for Murder    (1954)
Andrei Rublev    (1966)
Gran Torino    (2008)
Sunrise    (1927)
La La Land    (2016)
Gone with the Wind    (1939)
The Bandit    (1996)
The Deer Hunter    (1978)
Fargo    (1996)
The Sixth Sense    (1999)
The Big Lebowski    (1998)
The Thing    (1982)
No Country for Old Men    (2007)
Finding Nemo    (2003)
Tokyo Story    (1953)
Hacksaw Ridge    (2016)
Cool Hand Luke    (1967)
There Will Be Blood    (2007)
Rang De Basanti    (2006)
Rebecca    (1940)
Come and See    (1985)
The Passion of Joan of Arc    (1928)
Logan    (2017)
Kill Bill: Vol. 1    (2003)
How to Train Your Dragon    (2010)
Mary and Max    (2009)
Gone Girl    (2014)
Into the Wild    (2007)
A Wednesday    (2008)
Shutter Island    (2010)
It Happened One Night    (1934)
Life of Brian    (1979)
Relatos salvajes    (2014)
Platoon    (1986)
Hotel Rwanda    (2004)
The Wages of Fear    (1953)
Network    (1976)
Rush    (2013)
In the Name of the Father    (1993)
Stand by Me    (1986)
Persona    (1966)
The 400 Blows    (1959)
The Grand Budapest Hotel    (2014)
Ben-Hur    (1959)
Mad Max: Fury Road    (2015)
12 Years a Slave    (2013)
Memories of Murder    (2003)
Spotlight    (2015)
Million Dollar Baby    (2004)
Jurassic Park    (1993)
Butch Cassidy and the Sundance Kid    (1969)
Amores Perros    (2000)
Stalker    (1979)
The Truman Show    (1998)
The Maltese Falcon    (1941)
Paper Moon    (1973)
Hachi: A Dog's Tale    (2009)
Nausica of the Valley of the Wind    (1984)
The Nights of Cabiria    (1957)
The Princess Bride    (1987)
Before Sunrise    (1995)
Munna Bhai M.B.B.S.    (2003)
Harry Potter and the Deathly Hallows: Part 2    (2011)
Prisoners    (2013)
The Grapes of Wrath    (1940)
Rocky    (1976)
Catch Me If You Can    (2002)
Touch of Evil    (1958)
Diabolique    (1955)
Star Wars: The Force Awakens    (2015)
Gandhi    (1982)
Donnie Darko    (2001)
Monsters, Inc.    (2001)
Annie Hall    (1977)
Sholay    (1975)
The Terminator    (1984)
The Bourne Ultimatum    (2007)
Barry Lyndon    (1975)
The Wizard of Oz    (1939)
Groundhog Day    (1993)
8    (1963)
La Haine    (1995)
Jaws    (1975)
Twelve Monkeys    (1995)
The Best Years of Our Lives    (1946)
Infernal Affairs    (2002)
The Help    (2011)
In the Mood for Love    (2000)
Paris, Texas    (1984)
The Battle of Algiers    (1966)
Beauty and the Beast    (1991)
Gangs of Wasseypur    (2012)
Dog Day Afternoon    (1975)
Pirates of the Caribbean: The Curse of the Black Pearl    (2003)
What Ever Happened to Baby Jane?    (1962)
PK    (2014)
Drishyam    (2015)